model_id,nfolds,seed,fold_assignment,tweedie_variance_power,tweedie_link_power,solver,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_search,early_stopping,nlambdas,standardize,missing_values_handling,max_iterations,objective_epsilon,beta_epsilon,gradient_epsilon,link,lambda_min_ratio,interactions,max_after_balance_size,max_confusion_matrix_size,max_hit_ratio_k
GLM_grid_1_AutoML_20190418_163635_model_1,5,6.93E+18,Modulo,0,1,COORDINATE_DESCENT,0,0.2,0.4,0.6,0.8,1,25789241.54,16015555.91,9945931.555,6176591.999,3835768.274,TRUE,TRUE,30,TRUE,MeanImputation,,0.0001,0.0001,1.00E-06,identity,1.00E-06,null,5,20,0
GLM_grid_1_AutoML_20190418_163635_model_1,5,6.93E+18,Modulo,0,1,COORDINATE_DESCENT,0,0.2,0.4,0.6,0.8,1,25789241.54,16015555.91,9945931.555,6176591.999,3835768.274,TRUE,TRUE,30,TRUE,MeanImputation,,0.0001,0.0001,1.00E-06,identity,1.00E-06,null,5,20,0
GLM_grid_1_AutoML_20190418_165439_model_1,5,3.89E+18,Modulo,0,1,COORDINATE_DESCENT,0,0.2,0.4,0.6,0.8,1,25789241.54,16015555.91,9945931.555,6176591.999,3835768.274,TRUE,TRUE,30,TRUE,MeanImputation,,0.0001,0.0001,1.00E-06,identity,1.00E-06,null,5,20,0
GLM_grid_1_AutoML_20190418_163635_model_1,5,6.93E+18,Modulo,0,1,COORDINATE_DESCENT,0,0.2,0.4,0.6,0.8,1,25789241.54,16015555.91,9945931.555,6176591.999,3835768.274,TRUE,TRUE,30,TRUE,MeanImputation,,0.0001,0.0001,1.00E-06,identity,1.00E-06,null,5,20,0
GLM_grid_1_AutoML_20190418_172432_model_1,5,-5.58E+18,Modulo,0,1,COORDINATE_DESCENT,0,0.2,0.4,0.6,0.8,1,25789241.54,16015555.91,9945931.555,6176591.999,3835768.274,TRUE,TRUE,30,TRUE,MeanImputation,,0.0001,0.0001,1.00E-06,identity,1.00E-06,null,5,20,0
GLM_grid_1_AutoML_20190418_172432_model_1,5,-5.58E+18,Modulo,0,1,COORDINATE_DESCENT,0,0.2,0.4,0.6,0.8,1,25789241.54,16015555.91,9945931.555,6176591.999,3835768.274,TRUE,TRUE,30,TRUE,MeanImputation,,0.0001,0.0001,1.00E-06,identity,1.00E-06,null,5,20,0
GLM_grid_1_AutoML_20190418_163635_model_1,5,6.93E+18,Modulo,0,1,COORDINATE_DESCENT,0,0.2,0.4,0.6,0.8,1,25789241.54,16015555.91,9945931.555,6176591.999,3835768.274,TRUE,TRUE,30,TRUE,MeanImputation,,0.0001,0.0001,1.00E-06,identity,1.00E-06,null,5,20,0
GLM_grid_1_AutoML_20190418_172432_model_1,5,-5.58E+18,Modulo,0,1,COORDINATE_DESCENT,0,0.2,0.4,0.6,0.8,1,25789241.54,16015555.91,9945931.555,6176591.999,3835768.274,TRUE,TRUE,30,TRUE,MeanImputation,,0.0001,0.0001,1.00E-06,identity,1.00E-06,null,5,20,0
GLM_grid_1_AutoML_20190418_165439_model_1,5,3.89E+18,Modulo,0,1,COORDINATE_DESCENT,0,0.2,0.4,0.6,0.8,1,25789241.54,16015555.91,9945931.555,6176591.999,3835768.274,TRUE,TRUE,30,TRUE,MeanImputation,,0.0001,0.0001,1.00E-06,identity,1.00E-06,null,5,20,0
GLM_grid_1_AutoML_20190418_181012_model_1,5,-7.22E+18,Modulo,0,1,COORDINATE_DESCENT,0,0.2,0.4,0.6,0.8,1,25789241.54,16015555.91,9945931.555,6176591.999,3835768.274,TRUE,TRUE,30,TRUE,MeanImputation,,0.0001,0.0001,1.00E-06,identity,1.00E-06,null,5,20,0
